,Link,Team,g,Conference,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers
G35T22014,https://www.sports-reference.com/cfb/schools/iowa/2014.html,Iowa,12,Big Ten (West Division),7,0.5833333333333334,1.37,-0.4,14.5,27.1,53.7,175.9,1.4,344.2,5.3,16.8,6.4,1.2,28.216666666666665,23.983333333333334,20.849999999999998,33.81666666666667,0.6165598817151304,242.0,1.5666666666666667,40.208333333333336,156.35833333333332,3.8887046632124345,-18.491666666666667,73.8,398.35833333333335,5.397809394760615,21.375,3.4583333333333335,1.6749999999999998
G36T12014,https://www.sports-reference.com/cfb/schools/ucla/2014.html,UCLA,12,Pac-12 (South Division),9,0.75,14.4,9.1,23.5,38.2,61.6,250.6,1.7,398.5,5.2,22.7,5.7,1.2,32.958333333333336,27.525000000000002,23.808333333333334,34.291666666666664,0.6942891859052248,268.4916666666667,1.866666666666667,44.36666666666667,199.375,4.493801652892562,-25.416666666666668,77.40833333333333,467.86666666666673,6.044138228011628,24.016666666666666,7.416666666666667,1.2166666666666666
G36T22014,https://www.sports-reference.com/cfb/schools/kansas-state/2014.html,Kansas State,12,Big 12,9,0.75,12.73,3.66,21.0,33.8,62.2,229.0,1.5,369.3,5.5,20.2,6.7,1.6,35.86666666666667,21.799999999999997,19.950000000000003,30.474999999999998,0.6546349466776047,283.18333333333334,1.7833333333333334,35.56666666666667,142.79999999999998,4.014995313964385,-0.09166666666666679,67.45833333333333,425.98333333333335,6.314762198888204,22.233333333333334,4.266666666666667,0.9166666666666666
G37T12014,https://www.sports-reference.com/cfb/schools/florida/2014.html,Florida,11,SEC (East Division),6,0.5454545454545454,8.12,4.29,19.0,35.8,53.1,213.6,1.3,329.8,4.6,18.0,7.3,2.5,27.890909090909087,19.454545454545453,14.2,26.90909090909091,0.5277027027027027,180.70909090909092,1.4545454545454546,44.472727272727276,189.49090909090907,4.260834014717906,-13.30909090909091,70.01818181818182,370.20000000000005,5.287198130355753,17.727272727272727,6.763636363636365,1.9090909090909092
G37T22014,https://www.sports-reference.com/cfb/schools/east-carolina/2014.html,East Carolina,12,American,8,0.6666666666666666,2.35,-4.96,21.8,38.5,56.8,255.5,1.5,367.3,5.1,20.2,7.1,1.5,37.11666666666667,25.61666666666667,30.641666666666666,47.416666666666664,0.6462214411247803,367.30833333333334,2.433333333333333,30.40833333333333,165.44166666666663,5.440668676349684,-6.7,80.74166666666666,532.75,6.598204149034989,28.858333333333334,8.683333333333334,1.7000000000000002
G38T12014,https://www.sports-reference.com/cfb/schools/toledo/2014.html,Toledo,12,MAC (West Division),8,0.6666666666666666,-1.79,-6.48,22.5,37.0,60.9,291.7,2.8,407.9,5.8,21.8,4.8,1.1,34.4,29.375,18.508333333333333,30.791666666666668,0.601082543978349,239.04999999999998,1.9500000000000002,45.74166666666667,247.35,5.407542357442157,-27.491666666666664,74.36666666666666,486.2916666666667,6.539108023307935,24.25833333333333,6.083333333333333,1.3250000000000002
G38T22014,https://www.sports-reference.com/cfb/schools/arkansas-state/2014.html,Arkansas State,12,Sun Belt,7,0.5833333333333334,-3.96,-6.88,18.3,31.5,58.0,216.0,1.4,421.2,5.6,21.5,7.0,2.2,36.09166666666667,27.791666666666668,21.049999999999997,34.791666666666664,0.6050299401197604,248.1916666666667,1.6416666666666666,45.40833333333333,229.01666666666668,5.043494219122775,-2.4916666666666667,80.11666666666666,477.2083333333333,5.956417724152278,23.683333333333334,8.25,1.6749999999999998
G39T12014,https://www.sports-reference.com/cfb/schools/ohio-state/2014.html,Ohio State,14,Big Ten (East Division),13,0.9285714285714286,20.43,5.17,18.4,33.0,55.8,201.1,1.1,342.4,5.0,18.9,5.3,2.2,45.0,22.142857142857142,17.392857142857142,27.607142857142858,0.630012936610608,247.46428571428572,2.9285714285714284,47.642857142857146,262.25,5.504497751124437,-18.25,72.53571428571429,509.7142857142857,7.027080256031511,25.535714285714285,5.642857142857143,1.5357142857142858
G39T22014,https://www.sports-reference.com/cfb/schools/oregon/2014.html,Oregon,14,Pac-12 (North Division),13,0.9285714285714286,22.22,6.02,23.4,38.7,60.4,264.3,1.4,429.7,5.5,23.3,6.1,2.3,47.214285714285715,22.285714285714285,21.535714285714285,31.142857142857142,0.6915137614678899,311.0357142857143,2.9642857142857144,43.25,241.82142857142858,5.591246903385632,-6.428571428571429,74.75,552.8571428571429,7.396082178690874,27.607142857142858,8.071428571428571,0.6785714285714286
G1T12013,https://www.sports-reference.com/cfb/schools/louisiana-lafayette/2013.html,Louisiana,12,Sun Belt,8,0.6666666666666666,-2.01,-6.63,19.2,31.8,60.4,242.8,1.3,393.5,5.8,20.4,5.3,1.8,34.61666666666667,26.958333333333332,15.191666666666665,24.791666666666668,0.6127731092436973,216.79999999999998,1.7333333333333334,45.26666666666666,207.54166666666666,4.584867452135494,-11.291666666666666,67.97500000000001,424.45000000000005,6.2442074292019125,22.033333333333335,5.050000000000001,1.6749999999999998
G1T22013,https://www.sports-reference.com/cfb/schools/tulane/2013.html,Tulane,12,CUSA (West Division),7,0.5833333333333334,-3.22,-5.22,18.5,32.8,56.2,228.0,1.0,350.5,4.9,19.4,7.4,2.7,25.11666666666667,21.183333333333334,16.95,31.625,0.5359683794466403,176.04166666666666,1.625,35.958333333333336,128.10833333333332,3.5626882966396285,-7.2,67.64166666666667,304.15000000000003,4.496488850560553,16.841666666666665,6.858333333333333,1.7000000000000002
G2T12013,https://www.sports-reference.com/cfb/schools/san-diego-state/2013.html,San Diego State,12,MWC (West Division),7,0.5833333333333334,-4.68,-4.14,22.8,37.5,60.7,254.8,2.4,386.2,5.3,20.5,6.4,1.5,28.200000000000003,32.34166666666666,20.416666666666668,36.041666666666664,0.5664739884393064,262.2416666666667,1.4583333333333333,40.050000000000004,159.73333333333332,3.9883478984602574,-18.258333333333333,75.03333333333333,421.97499999999997,5.623833851621502,20.483333333333334,6.283333333333332,2.3249999999999997
G2T22013,https://www.sports-reference.com/cfb/schools/buffalo/2013.html,Buffalo,12,MAC (East Division),8,0.6666666666666666,-1.48,-7.33,15.2,29.2,52.0,216.2,1.2,382.8,5.6,18.9,6.9,2.3,30.825000000000003,22.349999999999998,19.175,32.949999999999996,0.5819423368740517,229.90833333333333,1.8083333333333333,42.26666666666666,171.93333333333337,4.067823343848582,-7.683333333333334,74.63333333333334,401.84166666666664,5.384211701652522,21.299999999999997,5.7250000000000005,1.05
G3T12013,https://www.sports-reference.com/cfb/schools/southern-california/2013.html,Southern California,13,Pac-12 (South Division),9,0.6923076923076923,13.72,6.22,21.0,36.9,57.0,214.6,1.4,334.9,5.0,18.2,4.7,1.6,28.523076923076925,21.292307692307695,17.584615384615383,27.63076923076923,0.6364142538975501,218.1076923076923,1.1999999999999997,38.723076923076924,174.23076923076923,4.499404052443385,-8.738461538461538,65.20000000000002,392.33846153846156,6.01746106654082,19.553846153846152,6.476923076923077,1.1384615384615384
G3T22013,https://www.sports-reference.com/cfb/schools/fresno-state/2013.html,Fresno State,12,MWC (West Division),11,0.9166666666666666,5.04,-5.04,21.5,35.6,60.5,283.2,2.0,430.5,5.6,20.4,6.9,1.8,41.99166666666667,26.691666666666666,35.958333333333336,51.64166666666666,0.6963046635468777,409.72499999999997,3.9499999999999997,29.86666666666667,160.82500000000002,5.384765625,-1.3499999999999999,85.59166666666668,570.5500000000001,6.665952682309414,30.358333333333334,5.216666666666668,1.6749999999999998
G4T12013,https://www.sports-reference.com/cfb/schools/east-carolina/2013.html,East Carolina,12,CUSA (East Division),9,0.75,4.29,-7.17,23.4,39.5,59.1,252.1,1.8,368.8,4.9,20.5,5.2,1.8,40.46666666666667,25.200000000000003,30.541666666666668,43.291666666666664,0.7054860442733398,331.52500000000003,2.6500000000000004,34.733333333333334,128.35833333333332,3.695537428023032,-20.816666666666666,78.44166666666666,459.88333333333327,5.862743014979284,26.316666666666666,4.991666666666666,1.3
G4T22013,https://www.sports-reference.com/cfb/schools/ohio/2013.html,Ohio,12,MAC (East Division),7,0.5833333333333334,-5.77,-6.85,17.6,29.9,58.9,217.9,1.8,405.8,5.7,20.5,7.6,1.7,28.016666666666666,26.708333333333332,19.341666666666665,31.758333333333336,0.6090265022303856,238.51666666666668,1.6749999999999998,34.791666666666664,136.25,3.916167664670659,-7.616666666666667,67.13333333333334,374.76666666666665,5.582423038728897,19.483333333333334,5.758333333333334,1.7000000000000002
G5T12013,https://www.sports-reference.com/cfb/schools/oregon-state/2013.html,Oregon State,12,Pac-12 (North Division),6,0.5,8.11,4.72,20.4,33.8,60.4,246.3,1.5,436.6,6.1,21.8,6.2,2.3,34.53333333333333,32.1,32.45,49.166666666666664,0.6600000000000001,382.06666666666666,3.058333333333333,26.74166666666667,86.01666666666667,3.216578373325023,-14.950000000000001,75.99166666666666,468.0833333333333,6.159666630112952,25.033333333333335,6.158333333333332,2.0833333333333335
G5T22013,https://www.sports-reference.com/cfb/schools/boise-state/2013.html,Boise State,12,MWC (Mountain Division),8,0.6666666666666666,3.88,-2.89,22.6,35.0,64.6,249.2,1.3,413.0,5.3,23.4,5.7,2.1,38.708333333333336,23.700000000000003,24.74166666666667,35.11666666666667,0.7045562411010917,269.0083333333333,2.3000000000000003,43.24166666666667,201.82500000000002,4.667373289651185,-10.291666666666666,78.96666666666668,470.8333333333333,5.962431405656393,24.966666666666665,3.966666666666667,1.7833333333333334
G6T12013,https://www.sports-reference.com/cfb/schools/pittsburgh/2013.html,Pittsburgh,11,ACC (Coastal Division),6,0.5,3.72,3.49,16.2,27.8,58.3,210.8,1.5,364.4,5.5,18.2,4.8,1.3,25.963636363636365,27.218181818181815,19.98181818181818,32.8,0.6092017738359202,248.9090909090909,1.8545454545454545,34.98181818181818,101.18181818181819,2.892411642411643,-21.763636363636365,66.23636363636363,350.09090909090907,5.285479000823497,19.145454545454548,5.527272727272728,1.5272727272727271
G6T22013,https://www.sports-reference.com/cfb/schools/bowling-green-state/2013.html,Bowling Green State,13,MAC (East Division),10,0.7692307692307693,4.89,-7.18,16.6,30.1,55.0,170.9,0.8,321.4,5.1,17.2,4.8,1.5,35.39999999999999,14.815384615384614,17.984615384615385,28.584615384615383,0.6291711517761034,265.10769230769233,1.8923076923076922,42.04615384615385,207.5076923076923,4.935236004390779,1.4923076923076926,70.44615384615385,472.50769230769225,6.7073596855208555,23.492307692307694,5.292307692307692,0.8615384615384616
G7T12013,https://www.sports-reference.com/cfb/schools/utah-state/2013.html,Utah State,13,MWC (Mountain Division),8,0.6153846153846154,6.7,-2.02,18.6,34.5,54.0,224.1,1.2,330.9,4.6,18.4,5.7,2.1,32.63076923076923,17.33846153846154,21.523076923076925,34.78461538461538,0.6187527642636004,242.04615384615383,2.184615384615385,43.39999999999999,178.87692307692308,4.121588089330026,-11.307692307692308,76.87692307692306,420.9230769230769,5.475285171102662,22.492307692307694,6.3076923076923075,1.3538461538461537
G7T22013,https://www.sports-reference.com/cfb/schools/northern-illinois/2013.html,Northern Illinois,13,MAC (West Division),12,0.9230769230769231,3.56,-8.51,20.0,36.9,54.3,263.1,1.9,414.9,5.4,21.9,5.9,2.1,41.56923076923077,25.415384615384617,18.492307692307694,29.507692307692306,0.626694473409802,223.1076923076923,2.184615384615385,47.707692307692305,312.44615384615383,6.549177684617865,-4.6000000000000005,76.87692307692306,535.553846153846,6.966379827896738,26.646153846153847,5.5076923076923086,1.1384615384615384
G8T12013,https://www.sports-reference.com/cfb/schools/marshall/2013.html,Marshall,13,CUSA (East Division),9,0.6923076923076923,3.07,-8.21,16.4,31.9,51.6,208.1,1.2,368.6,4.9,19.6,5.4,1.9,42.95384615384615,23.12307692307692,22.076923076923077,36.78461538461538,0.600167294019239,291.1230769230769,3.0,40.55384615384615,211.12307692307692,5.205993930197269,-8.03076923076923,78.03076923076922,502.3538461538461,6.437894321766562,26.153846153846153,6.0,1.7230769230769232
