,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers
G302016,1,0.08333333333333337,1.02,1.09,-3.4000000000000004,-6.799999999999997,2.0,-55.099999999999994,-0.3999999999999999,-99.39999999999998,-0.20000000000000018,-5.100000000000001,-0.9000000000000004,0.9000000000000001,-7.708333333333343,-3.6666666666666714,-6.43333333333333,-9.166666666666668,-0.03572440543734201,-82.42500000000001,-0.21666666666666679,4.158333333333346,-10.125,-0.7416318585991419,-7.308333333333332,-5.841666666666669,-92.65833333333336,-0.7958196994364766,-2.924999999999997,-1.6083333333333307,0.08333333333333348
G312016,-1,-0.08333333333333337,-4.289999999999999,-3.4400000000000004,-4.299999999999999,-8.400000000000002,1.0999999999999943,-42.79999999999998,-0.5999999999999999,38.700000000000045,0.0,2.3999999999999986,0.5,-0.3999999999999999,6.666666666666671,4.708333333333332,9.991666666666667,11.033333333333339,0.09865943237002583,135.75000000000006,1.1083333333333336,-11.933333333333326,-67.44166666666669,-0.20814231263850225,1.0250000000000004,1.56666666666667,68.3083333333334,0.9042696549475799,3.175000000000008,1.6083333333333307,-0.46666666666666656
G322016,1,0.08333333333333337,-3.04,-1.4899999999999998,1.1999999999999993,-0.7000000000000028,5.100000000000001,-14.899999999999977,-0.19999999999999996,-85.39999999999998,-0.2999999999999998,-4.699999999999999,-1.4000000000000004,-0.30000000000000004,-9.558333333333337,-6.475000000000005,-2.6999999999999993,1.4000000000000057,-0.11989077137002357,-26.19999999999999,-0.9500000000000002,0.09999999999999432,-24.916666666666657,-0.6348348460961155,13.433333333333334,2.6666666666666856,-51.11666666666662,-0.9607136543925545,-0.5,-0.5166666666666693,-0.9749999999999996
G332016,2,0.07692307692307676,5.640000000000001,3.31,-0.1999999999999993,1.6999999999999957,-3.4000000000000057,15.0,0.09999999999999998,-55.099999999999966,-0.5999999999999996,-3.1000000000000014,-2.1999999999999997,-0.5,-5.119780219780218,-5.786813186813188,0.010439560439557738,-0.9153846153846104,0.021411344475773197,-52.91923076923081,-1.8346153846153848,5.572527472527462,36.76043956043952,0.13368397469264526,-11.874725274725273,3.821978021978012,-16.158791208791172,-0.6140178231254563,-1.9043956043956065,0.09505494505494472,0.4390109890109888
G342016,-2,-0.011904761904761973,-1.259999999999998,0.04999999999999982,-1.700000000000001,-1.3000000000000007,-3.5,-9.700000000000017,-0.09999999999999998,-11.300000000000011,-0.1999999999999993,-1.5999999999999996,-3.4000000000000004,0.30000000000000004,3.18333333333333,-2.8630952380952372,-7.885714285714286,-9.44642857142857,-0.04824586169756673,-106.60833333333332,-0.8333333333333335,7.747619047619047,82.33571428571429,1.0154999649639125,-0.26785714285714324,-2.0440476190476318,-24.271428571428544,-0.14622376912524793,-1.357142857142854,-0.37738095238095415,-1.1678571428571427
G352016,1,0.08333333333333326,4.83,0.14000000000000012,5.300000000000001,6.299999999999997,4.800000000000004,23.30000000000001,-0.3999999999999999,-35.19999999999999,-0.2999999999999998,-1.0999999999999979,-1.4000000000000004,-0.10000000000000009,-3.1999999999999993,-6.11666666666666,-6.174999999999999,-11.11666666666667,-0.010358020637431853,-55.80833333333334,-0.5666666666666669,5.891666666666659,16.14166666666665,-0.3270981864799323,-9.425,-8.141666666666666,-39.66666666666657,0.21253546210760987,-2.466666666666665,-0.9249999999999998,-1.0000000000000002
G362016,-2,-0.11363636363636365,4.0600000000000005,3.7499999999999996,-1.0,-1.3000000000000007,-1.2000000000000028,-9.900000000000006,-1.4000000000000001,-7.800000000000011,0.09999999999999964,-1.5,-0.6000000000000005,-0.5,-17.05530303030302,-6.948484848484849,-5.494696969696969,-9.623484848484843,0.004881560947512242,-114.30378787878789,-1.7992424242424239,-2.48030303030302,-18.600000000000023,-0.08346488906407235,-10.813636363636364,-12.528030303030299,-132.90378787878797,-0.6323165206886143,-6.603030303030305,-2.910606060606061,-1.188636363636364
G372016,0,0.0,4.180000000000001,2.64,-4.1,-5.600000000000001,-5.299999999999997,-52.900000000000006,-0.7999999999999999,-58.19999999999999,-0.39999999999999947,-2.3999999999999986,-0.9000000000000004,0.40000000000000013,-3.3333333333333357,0.08333333333333215,4.833333333333336,8.258333333333333,-0.0013227163664164543,53.900000000000006,-0.05833333333333335,-4.200000000000003,-42.06666666666669,-0.672089143561398,4.083333333333334,4.783333333333346,11.833333333333258,-0.20509429909031507,1.7666666666666657,1.3666666666666654,0.9499999999999997
G382016,2,0.16666666666666674,3.01,-1.92,0.0,2.3000000000000043,-3.1999999999999957,40.19999999999999,1.1,70.10000000000002,0.8000000000000007,2.0,0.6000000000000005,0.0,12.424999999999997,14.008333333333336,7.1916666666666735,7.933333333333334,0.07290484364843564,149.04166666666666,2.5166666666666666,-6.149999999999999,-40.95833333333334,-0.16964989621617477,-3.799999999999997,2.11666666666666,108.08333333333331,1.286149025111336,3.1833333333333407,0.09999999999999964,0.30000000000000004
G392016,-2,-0.09615384615384615,1.549999999999999,1.6100000000000003,-1.6999999999999993,0.09999999999999432,-5.0,10.900000000000006,0.5,-0.6999999999999886,0.40000000000000036,-0.5,-2.4000000000000004,0.0,-3.789743589743601,-1.2205128205128233,6.646153846153847,6.251282051282061,0.08984314115996717,0.4679487179487296,0.3378205128205125,-1.6987179487179347,35.56858974358974,1.153982385669579,4.996153846153847,6.526923076923069,36.036538461538385,-0.08871374199745397,3.9166666666666714,2.615384615384614,0.2647435897435899
